;OS;Count;Count_sp;signalHsmm;signalP;diff
354;Arthroderma gypseum (strain ATCC MYA-4604 / CBS 118893) (Microsporum gypseum).;83;32;0,960171569;1;-0,039828431
761;Candida tropicalis (Yeast).;73;1;0,958333333;1;-0,041666667
5011;Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica).;2535;22;0,884961835;0,927043013;-0,042081178
3386;Paramecium tetraurelia.;287;10;0,857400722;0,9;-0,042599278
2587;Macaca fuscata fuscata (Japanese macaque).;102;10;0,956521739;1;-0,043478261
2633;Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae).;1142;26;0,93824097;0,983422939;-0,045181969
2160;Homo sapiens (Human).;63981;3056;0,896752635;0,943288609;-0,046535974
1221;Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus).;695;24;0,900273224;0,947124938;-0,046851714
665;Bungarus fasciatus (Banded krait) (Pseudoboa fasciata).;71;15;0,952380952;1;-0,047619048
1630;Drosophila yakuba (Fruit fly).;909;29;0,917789969;0,965517241;-0,047727273
2925;Mustela putorius furo (European domestic ferret) (Mustela furo).;81;3;0,945070423;0,992957746;-0,047887324
760;Candida tropicalis (strain ATCC MYA-3404 / T1) (Yeast).;184;5;0,950837989;1;-0,049162011
1198;Coturnix coturnix japonica (Japanese quail) (Coturnix japonica).;246;25;0,860452489;0,912488688;-0,052036199
51;Aedes aegypti (Yellowfever mosquito) (Culex aegypti).;961;30;0,903795202;0,955925528;-0,052130326
3374;Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis).;106;7;0,945165945;1;-0,054834055
1115;Colobus guereza (Mantled guereza) (Eastern black-and-white colobus monkey).;69;13;0,945054945;1;-0,054945055
3536;Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Septoria nodorum).;913;12;0,942101369;0,997780244;-0,055678875
1028;Cicer arietinum (Chickpea) (Garbanzo).;116;3;0,943952802;1;-0,056047198
3294;Ovis aries (Sheep).;975;137;0,888834207;0,945355643;-0,056521436
3288;Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby).;61;6;0,942424242;1;-0,057575758
5022;Zea mays (Maize).;1641;49;0,88922931;0,948351451;-0,059122141
3051;Nectria haematococca (strain 77-13-4 / ATCC MYA-4622 / FGSC 9596 / MPVI) (Fusarium solani subsp. pisi).;197;6;0,940663176;1;-0,059336824
394;Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167).;276;6;0,877233782;0,938372093;-0,061138311
