OS;Count;signalHsmm;signalP;diff;sp_count
Anguilla anguilla (European freshwater eel) (Muraena anguilla).;74;1;1;0;5
Anisakis simplex (Herring worm).;3;1;1;0;1
Anser anser anser (Western greylag goose).;44;1;1;0;1
Antheraea mylitta (Tasar silkworm).;23;1;1;0;3
Antheraea pernyi (Chinese oak silk moth).;23;1;1;0;5
Anthonomus grandis (Boll weevil) (Anthonomus thurberiae).;2;1;1;0;1
Antilocapra americana (Pronghorn).;22;1;1;0;1
Antilope cervicapra (Blackbuck).;21;1;1;0;1
Aotus vociferans (Spix's owl monkey) (Noisy night monkey).;2;1;1;0;1
Aplysia kurodai (Kuroda's sea hare).;4;1;1;0;2
Apodemus sylvaticus (European woodmouse).;21;1;1;0;1
Arabidopsis halleri subsp. gemmifera (Arabis gemmifera).;2;1;1;0;1
Arabidopsis lyrata (Lyre-leaved rock-cress) (Arabis lyrata).;4;1;1;0;3
Arachis hypogaea (Peanut).;32;1;1;0;9
Arbacia punctulata (Punctuate sea urchin).;4;1;1;0;1
Argas monolakensis (Mono lake bird tick).;3;1;1;0;1
Argopecten irradians (Bay scallop) (Aequipecten irradians).;6;1;1;0;1
Armadillidium vulgare (Pillbug) (Pill woodlouse).;2;1;1;0;1
Armoracia rusticana (Horseradish) (Armoracia laphatifolia).;40;1;1;0;2
Artemisia vulgaris (Mugwort).;3;1;1;0;1
Arthroderma benhamiae (Trichophyton mentagrophytes).;15;1;1;0;14
Arthroderma otae (Microsporum canis).;11;1;1;0;10
Ascidia sydneiensis samea (Vanadium-rich ascidian).;2;1;1;0;1
Aspergillus aculeatus.;16;1;1;0;15
Aspergillus awamori (Black koji mold).;17;1;1;0;15
Aspergillus giganteus.;20;1;1;0;2
Aspergillus japonicus.;3;1;1;0;1
Aspergillus oryzae (Yellow koji mold).;5;1;1;0;4
Aspergillus phoenicis (Aspergillus saitoi).;6;1;1;0;4
Aspergillus sojae.;4;1;1;0;2
Astacus astacus (Noble crayfish) (Astacus fluviatilis).;3;1;1;0;1
Atelerix albiventris (Middle-African hedgehog) (Four-toed hedgehog).;10;1;1;0;3
Ateles geoffroyi (Black-handed spider monkey) (Geoffroy's spider monkey).;27;1;1;0;8
Ateles paniscus (Black spider monkey) (Red-faced black spider monkey).;4;1;1;0;2
Atheris nitschei (Great lakes bush viper).;2;1;1;0;1
Atheris squamigera (Variable bush viper).;2;1;1;0;1
Atropoides nummifer (Jumping pit viper) (Porthidium nummifer).;40;1;1;0;1
Aureobasidium pullulans (Black yeast) (Pullularia pullulans).;21;1;1;0;3
Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus).;48;1;1;0;29
Avena sativa (Oat).;21;1;1;0;6
Betula pendula (European white birch) (Betula verrucosa).;39;1;1;0;1
Bitis arietans (African puff adder).;33;1;1;0;9
Bitis gabonica (Gaboon adder) (Gaboon viper).;31;1;1;0;10
Bitis rhinoceros (West African gaboon viper) (Vipera rhinoceros).;3;1;1;0;2
Blaberus discoidalis (Tropical cockroach).;3;1;1;0;2
Blarina brevicauda (Northern short-tailed shrew).;22;1;1;0;1
Blumeria graminis (Powdery mildew) (Oidium monilioides).;4;1;1;0;1
Bombina orientalis (Oriental fire-bellied toad).;6;1;1;0;5
Bombus terrestris (Buff-tailed bumblebee) (Apis terrestris).;18;1;1;0;1
Bombyx mandarina (Wild silk moth) (Wild silkworm).;3;1;1;0;1
Bos gaurus frontalis (Domestic gayal) (Bos frontalis).;24;1;1;0;1
Bothriechis lateralis (Side-striped palm pitviper).;39;1;1;0;1
Bothriechis schlegelii (Eyelash palm pitviper).;20;1;1;0;2
Bothrops alternatus (Urutu) (Rhinocerophis alternatus).;41;1;1;0;2
Bothrops asper (Terciopelo).;43;1;1;0;6
Bothrops atrox (Barba amarilla) (Fer-de-lance).;45;1;1;0;3
Bothrops erythromelas (Caatinga lance head).;24;1;1;0;4
Bothrops insularis (Golden lancehead) (Lachesis insularis).;29;1;1;0;8
Bothrops jararaca (Jararaca) (Bothrops jajaraca).;50;1;1;0;16
Bothrops moojeni (Lance-headed viper) (Caissaca).;64;1;1;0;7
Bothrops pauloensis (Neuwied's lancehead) (Bothrops neuwiedi pauloensis).;24;1;1;0;2
Brachyteles arachnoides (Southern muriqui) (Woolly spider monkey).;3;1;1;0;1
Bradysia coprophila (Dark-winged fungus gnat) (Sciara coprophila).;21;1;1;0;2
Branchiostoma belcheri (Amphioxus).;37;1;1;0;1
Brassica campestris (Field mustard).;107;1;1;0;2
Brassica oleracea var. alboglabra (Chinese kale) (Brassica alboglabra).;4;1;1;0;2
Brassica oleracea var. botrytis (Cauliflower).;11;1;1;0;1
Brassica oleracea var. italica (Broccoli).;8;1;1;0;3
Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis).;9;1;1;0;1
Brugia pahangi (Filarial nematode worm).;9;1;1;0;4
Bubalus carabanensis (Swamp type water buffalo) (Bubalus bubalis carabanensis).;10;1;1;0;7
Bufo japonicus (Japanese toad).;2;1;1;0;1
Bufo marinus (Giant toad) (Cane toad).;27;1;1;0;2
Cairina moschata (Muscovy duck).;14;1;1;0;1
Callicebus moloch (Dusky titi monkey).;52;1;1;0;8
Callicebus torquatus (Collared titi).;2;1;1;0;1
Callimico goeldii (Goeldi's marmoset).;25;1;1;0;2
Callinectes sapidus (Blue crab).;3;1;1;0;2
Calliphora vicina (Blue blowfly) (Calliphora erythrocephala).;43;1;1;0;3
Callithrix geoffroyi (Geoffroy's marmoset).;2;1;1;0;1
Callithrix pygmaea (Pygmy marmoset) (Cebuella pygmaea).;6;1;1;0;2
Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma).;32;1;1;0;7
Canavalia ensiformis (Jack bean) (Dolichos ensiformis).;4;1;1;0;3
Candida rugosa (Yeast) (Candida cylindracea).;3;1;1;0;1
Candida tsukubaensis (Yeast) (Pseudozyma tsukubaensis).;2;1;1;0;1
Cannabis sativa (Hemp) (Marijuana).;53;1;1;0;5
Capparis masaikai (Mabinlang).;4;1;1;0;1
Capra ibex (Ibex).;22;1;1;0;3
Capricornis crispus (Japanese serow) (Naemorhedus crispus).;21;1;1;0;1
Capricornis sumatraensis (Sumatran serow).;21;1;1;0;1
Carcinoscorpius rotundicauda (Mangrove horseshoe crab) (Limulus rotundicauda).;2;1;1;0;1
Carcinus maenas (Common shore crab) (Green crab).;4;1;1;0;3
Carollia perspicillata (Seba's short-tailed bat).;26;1;1;0;1
Castanea sativa (Sweet chestnut).;21;1;1;0;1
Catharanthus roseus (Madagascar periwinkle) (Vinca rosea).;164;0,941358025;0,941358025;0;2
Catostomus commersonii (White sucker) (Cyprinus commersonnii).;4;1;1;0;1
Cebus albifrons (White-fronted capuchin).;47;1;1;0;2
Cebus capucinus (White-faced sapajou).;6;1;1;0;2
Cebus olivaceus (Weeper capuchin).;2;1;1;0;1
Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys).;22;1;1;0;11
Cercopithecus diana (Diana monkey).;2;1;1;0;1
Cercopithecus mitis (Blue monkey).;2;1;1;0;1
Cercopithecus pygerythrus (Vervet monkey).;6;1;1;0;1
Cerrophidion godmani (Porthidium godmani) (Bothrops godmani).;57;1;1;0;1
Cervus elaphus nelsoni (North American elk) (Cervus canadensis nelsoni).;21;1;1;0;1
Cervus nippon (Sika deer).;26;1;1;0;3
Charybdis feriatus (Crucifix crab) (Cancer feriatus).;3;1;1;0;1
